# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7  of event 'cpu_core/mem-loads-aux/'
# Total weight : 7
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ....................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
   100.00%             7  0             N/A                                      [k] native_write_msr  [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   


# Samples: 22  of event 'cpu_core/mem-loads,ldlat=30/'
# Total weight : 1160
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                          Shared Object            Data Symbol             Data Object         Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ..............................  .......................  ......................  ..................  ............  ......................  ......  ..........  ...................  ....................
#
    12.59%             1  146           RAM hit                                  [k] __free_pages                [kernel.kallsyms]        [k] 0xfffffcaf0e016880  [kernel.kallsyms]   Hit           L2 miss                 No       N/A        487                  0                   
    12.50%             1  145           L3 hit                                   [k] __update_load_avg_cfs_rq    [kernel.kallsyms]        [k] 0xffff8c3bc9397280  [kernel.kallsyms]   Miss          L1 or L2 hit            No       N/A        147                  0                   
    10.95%             1  127           LFB/MAB hit                              [.] timerlistgroup_deadline_ns  qemu-system-x86_64       [.] 0x000055eb466831b0  [heap]              None          L1 or L2 hit            No       N/A        129                  0                   
     8.02%             1  93            LFB/MAB hit                              [k] intel_idle                  [kernel.kallsyms]        [k] 0xffff8c3bc0decd42  [kernel.kallsyms]   None          L2 miss                 Yes      N/A        261                  0                   
     6.90%             1  80            L3 hit                                   [k] tomoyo_domain               [kernel.kallsyms]        [k] 0xffff8c3ce0e4bd20  [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        82                   0                   
     6.64%             1  77            LFB/MAB hit                              [k] eventfd_poll                [kernel.kallsyms]        [k] 0xffff8c3c99d139e0  [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        112                  0                   
     6.12%             1  71            L3 hit                                   [.] slirp_pollfds_poll@plt      qemu-system-x86_64       [.] 0x000055eb1170e4c0  qemu-system-x86_64  None          L1 or L2 hit            No       N/A        73                   0                   
