# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7  of event 'cpu_core/mem-loads-aux/'
# Total weight : 7
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ....................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
   100.00%             7  0             N/A                                      [k] native_write_msr  [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   


# Samples: 41  of event 'cpu_core/mem-loads,ldlat=30/'
# Total weight : 1979
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                          Shared Object            Data Symbol                                 Data Object        Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ..............................  .......................  ..........................................  .................  ............  ......................  ......  ..........  ...................  ....................
#
    10.86%             1  215           L3 hit                                   [k] check_tsc_unstable          [kernel.kallsyms]        [k] tsc_unstable+0x0                        [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        217                  0                   
    10.46%             1  207           LFB/MAB hit                              [.] 0x000000000005db78          libglib-2.0.so.0.8400.4  [.] 0x00007f10c436e638                      anon               None          L1 or L2 hit            No       N/A        407                  0                   
     6.67%             1  132           RAM hit                                  [k] eventfd_poll                [kernel.kallsyms]        [k] 0xffff8c3cd93aee60                      [kernel.kallsyms]  Hit           L1 or L2 hit            No       N/A        134                  0                   
     5.36%             1  106           L3 hit                                   [k] nr_iowait_cpu               [kernel.kallsyms]        [k] 0xffff8c3f0f3369a8                      [kernel.kallsyms]  HitM          L1 or L2 hit            No       N/A        108                  0                   
     5.15%             1  102           LFB/MAB hit                              [k] fetch_next_timer_interrupt  [kernel.kallsyms]        [k] 0xffff8c3f0f3226e6                      [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        121                  0                   
     4.75%             1  94            LFB/MAB hit                              [k] switch_mm_irqs_off          [kernel.kallsyms]        [k] 0xffff8c3c3b4a8960                      [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        211                  0                   
