# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 11  of event 'cpu_core/mem-loads-aux/'
# Total weight : 11
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                      Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ..........................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
    90.91%            10  0             N/A                                      [k] native_write_msr        [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     9.09%             1  0             N/A                                      [k] ct_kernel_enter.isra.0  [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   


# Samples: 108  of event 'cpu_core/mem-loads,ldlat=30/'
# Total weight : 6442
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                            Shared Object            Data Symbol                                Data Object              Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ................................  .......................  .........................................  .......................  ............  ......................  ......  ..........  ...................  ....................
#
     5.01%             1  323           RAM hit                                  [.] qemu_main_loop                qemu-system-x86_64       [.] 0x000055eb11720c8c                     qemu-system-x86_64       Hit           L2 miss                 No       N/A        650                  0                   
     3.88%             1  250           LFB/MAB hit                              [k] fdget                         [kernel.kallsyms]        [k] 0xffff8c3bee851840                     [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        336                  0                   
     3.82%             1  246           LFB/MAB hit                              [k] __switch_to_asm               [kernel.kallsyms]        [k] 0xffffd3a84b2338f8                     [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        989                  0                   
