# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 47  of event 'cpu_core/mem-loads-aux/'
# Total weight : 47
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                     Shared Object       Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  .........................................  ..................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
    70.21%            33  0             N/A                                      [k] native_write_msr                       [kernel.kallsyms]   [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
    10.64%             5  0             N/A                                      [k] ct_kernel_enter.isra.0                 [kernel.kallsyms]   [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     8.51%             4  0             N/A                                      [k] skip_emulated_instruction              [kernel.kallsyms]   [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     4.26%             2  0             N/A                                      [k] vcpu_run                               [kernel.kallsyms]   [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     2.13%             1  0             N/A                                      [.] aio_notify                             qemu-system-x86_64  [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     2.13%             1  0             N/A                                      [k] rw_verify_area                         [kernel.kallsyms]   [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     2.13%             1  0             N/A                                      [.] 0x00000000008d52d3                     qemu-system-x86_64  [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   


# Samples: 69  of event 'cpu_core/mem-loads,ldlat=30/'
# Total weight : 4360
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                     Shared Object            Data Symbol                              Data Object              Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  .........................................  .......................  .......................................  .......................  ............  ......................  ......  ..........  ...................  ....................
#
     9.06%             1  395           LFB/MAB hit                              [.] pthread_mutex_lock                     libc.so.6                [.] 0x000055eb468f8150                   [heap]                   None          L1 or L2 hit            Yes      N/A        397                  0                   
     6.12%             1  267           LFB/MAB hit                              [.] 0x000000000005db78                     libglib-2.0.so.0.8400.4  [.] 0x00007f10c40b2558                   anon                     None          L1 or L2 hit            No       N/A        300                  0                   
     5.57%             1  243           RAM hit                                  [.] ppoll@plt                              qemu-system-x86_64       [.] 0x000055eb1170f190                   qemu-system-x86_64       Hit           L1 or L2 hit            No       N/A        245                  0                   
     5.02%             1  219           L3 hit                                   [k] housekeeping_test_cpu                  [kernel.kallsyms]        [k] 0xffff8c3f1f7c5000                   [kernel.kallsyms]        HitM          L2 miss                 No       N/A        320                  0                   
     4.17%             1  182           L3 hit                                   [k] _find_next_bit                         [kernel.kallsyms]        [k] 0xffff8c3bc004fe78                   [kernel.kallsyms]        HitM          L1 or L2 hit            No       N/A        184                  0                   
     4.17%             1  182           RAM hit                                  [k] fdget                                  [kernel.kallsyms]        [k] 0xffff8c3bc1aa74e0                   [kernel.kallsyms]        Hit           L1 or L2 hit            No       N/A        184                  0                   
     3.92%             1  171           RAM hit                                  [k] update_curr                            [kernel.kallsyms]        [k] 0xffff8c3bfbe2f138                   [kernel.kallsyms]        Hit           L1 or L2 hit            No       N/A        173                  0                   
     3.69%             1  161           RAM hit                                  [.] 0x00000000006cfccb                     qemu-system-x86_64       [.] 0x000055eb474541c0                   [heap]                   Hit           L1 or L2 hit            No       N/A        163                  0                   
     3.53%             1  154           RAM hit                                  [k] __update_load_avg_cfs_rq               [kernel.kallsyms]        [k] 0xffff8c3bc401a214                   [kernel.kallsyms]        Hit           L1 or L2 hit            No       N/A        207                  0                   
     3.33%             1  145           RAM hit                                  [k] dl_server_update_idle_time             [kernel.kallsyms]        [k] 0xffff8c3bc0dece18                   [kernel.kallsyms]        Hit           L1 or L2 hit            No       N/A        147                  0                   
     3.17%             1  138           RAM hit                                  [k] sched_numa_find_closest                [kernel.kallsyms]        [k] 0xffff8c3bc004f108                   [kernel.kallsyms]        Hit           L2 miss                 No       N/A        170                  0                   
     3.14%             1  137           LFB/MAB hit                              [k] sched_balance_update_blocked_averages  [kernel.kallsyms]        [k] 0xffff8c3bd4ee9ce0                   [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        139                  0                   
     3.10%             1  135           RAM hit                                  [k] update_curr                            [kernel.kallsyms]        [k] 0xffff8c3bc790d538                   [kernel.kallsyms]        Hit           L1 or L2 hit            No       N/A        226                  0                   
     3.00%             1  131           RAM hit                                  [.] notifier_list_notify                   qemu-system-x86_64       [.] 0x000055eb465e5450                   [heap]                   Hit           L2 miss                 No       N/A        167                  0                   
     2.75%             1  120           LFB/MAB hit                              [k] kvm_irq_map_gsi                        [kernel.kallsyms]        [k] 0xffff8c3c3aee15f0                   [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        130                  0                   
     2.43%             1  106           L3 hit                                   [k] tsc_verify_tsc_adjust                  [kernel.kallsyms]        [k] boot_cpu_data+0x50                   [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        108                  0                   
     2.32%             1  101           RAM hit                                  [k] tick_nohz_idle_got_tick                [kernel.kallsyms]        [k] 0xffff8c3f0f326478                   [kernel.kallsyms]        Hit           L2 miss                 No       N/A        132                  0                   
     2.13%             1  93            RAM hit                                  [.] 0x0000000000b1d30d                     qemu-system-x86_64       [.] 0x000055eb466863d0                   [heap]                   Hit           L1 or L2 hit            No       N/A        95                   0                   
     2.09%             1  91            LFB/MAB hit                              [k] native_sched_clock                     [kernel.kallsyms]        [k] 0xffff8c3f0f335020                   [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        95                   0                   
     1.90%             1  83            L3 hit                                   [k] __update_load_avg_cfs_rq               [kernel.kallsyms]        [k] 0xffff8c3bd4ee8a9c                   [kernel.kallsyms]        HitM          L1 or L2 hit            No       N/A        87                   0                   
     1.90%             1  83            L3 hit                                   [k] update_load_avg                        [kernel.kallsyms]        [k] __cpu_active_mask+0x0                [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        85                   0                   
     1.72%             1  75            LFB/MAB hit                              [k] page_counter_try_charge                [kernel.kallsyms]        [k] 0xffff8c3bd2850178                   [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        174                  0                   
     1.70%             1  74            L3 hit                                   [.] qemu_clock_run_all_timers              qemu-system-x86_64       [.] 0x000055eb46686408                   [heap]                   None          L1 or L2 hit            No       N/A        76                   0                   
     1.67%             1  73            L3 hit                                   [k] switch_fpu_return                      [kernel.kallsyms]        [k] 0xffff8c3f0f320888                   [kernel.kallsyms]        None          L2 miss                 No       N/A        96                   0                   
     1.65%             1  72            LFB/MAB hit                              [k] _raw_spin_lock_irqsave                 [kernel.kallsyms]        [k] rcu_state+0x0                        [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        74                   0                   
     1.65%             1  72            LFB/MAB hit                              [.] g_main_context_default                 libglib-2.0.so.0.8400.4  [.] 0x00007f115cf3c970                   libglib-2.0.so.0.8400.4  None          L1 or L2 hit            No       N/A        168                  0                   
     1.65%             1  72            L3 hit                                   [k] __hrtimer_next_event_base              [kernel.kallsyms]        [k] 0xffff8c3f0f33d3c0                   [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        74                   0                   
     1.65%             1  72            L3 hit                                   [k] _copy_from_user                        [kernel.kallsyms]        [k] 0x000055eb109a3dd0                   [unknown]                None          L1 or L2 hit            No       N/A        81                   0                   
     1.51%             1  66            L3 hit                                   [k] __x64_sys_ioctl                        [kernel.kallsyms]        [k] kvm_vm_fops+0x50                     [kernel.kallsyms]        None          L2 miss                 No       N/A        229                  0                   
     1.47%             1  64            L3 hit                                   [.] main_loop_wait                         qemu-system-x86_64       [.] 0x000055eb118457f8                   anon                     None          L1 or L2 hit            No       N/A        66                   0                   
     1.28%             1  56            L3 hit                                   [k] kvm_vm_ioctl                           [kernel.kallsyms]        [k] 0xffffd3a84d482b4a                   [kernel.kallsyms]        None          L2 miss                 No       N/A        126                  0                   
     1.26%             1  55            L3 hit                                   [k] __vmx_vcpu_run                         [kernel.kallsyms]        [k] 0xffff8c3c92d78140                   [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        57                   0                   
     0.92%             1  40            LFB/MAB hit                              [k] ioapic_set_irq                         [kernel.kallsyms]        [k] 0xffff8c3d47748010                   [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        42                   0                   
     0.57%             1  25            L1 hit                                   [.] 0x000000000009776a                     libc.so.6                [.] 0x000055eb466863d8                   [heap]                   None          L1 or L2 hit            Yes      N/A        34                   0                   
     0.48%             1  21            LFB/MAB hit                              [k] __kvm_read_guest_page                  [kernel.kallsyms]        [k] 0x00007f10d62aa674                   [unknown]                None          L1 or L2 hit            No       N/A        63                   0                   
     0.48%             1  21            LFB/MAB hit                              [k] fdget                                  [kernel.kallsyms]        [k] 0xffff8c3c3908eb40                   [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        39                   0                   
     0.11%             1  5             L1 hit                                   [k] __ct_user_enter                        [kernel.kallsyms]        [k] 0xffffd3a84d42fba8                   [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        33                   0                   
     0.11%             1  5             L1 hit                                   [k] __flush_work                           [kernel.kallsyms]        [k] 0xffffd3a84d42f7b0                   [kernel.kallsyms]        None          L1 or L2 hit            No       Data Addr  41                   0                   
     0.11%             1  5             L1 hit                                   [k] __switch_to                            [kernel.kallsyms]        [k] 0xffff8c3bc0decd41                   [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        81                   0                   
     0.11%             1  5             L1 hit                                   [k] __update_load_avg_cfs_rq               [kernel.kallsyms]        [k] 0xffffd3a8401abcf0                   [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        144                  0                   
     0.11%             1  5             L1 hit                                   [k] __update_load_avg_se                   [kernel.kallsyms]        [k] 0xffffd3a8401abcf0                   [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        381                  0                   
     0.11%             1  5             L1 hit                                   [k] ct_kernel_exit.isra.0                  [kernel.kallsyms]        [k] 0xffffd3a84b233ba8                   [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        42                   0                   
     0.11%             1  5             L1 hit                                   [k] do_sys_poll                            [kernel.kallsyms]        [k] 0xffffd3a84d42f90c                   [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        38                   0                   
     0.11%             1  5             L1 hit                                   [k] fdget                                  [kernel.kallsyms]        [k] 0xffffd3a84d42f888                   [kernel.kallsyms]        None          L1 or L2 hit            No       Addr       36                   0                   
     0.11%             1  5             L1 hit                                   [k] fput                                   [kernel.kallsyms]        [k] 0xffff8c3c99d13300                   [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        84                   0                   
     0.11%             1  5             L1 hit                                   [k] fput                                   [kernel.kallsyms]        [k] 0xffff8c3c99d139c0                   [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        436                  0                   
     0.11%             1  5             L1 hit                                   [.] g_mutex_lock                           libglib-2.0.so.0.8400.4  [.] 0x000055eb46687d80                   [heap]                   None          L1 or L2 hit            Yes      N/A        46                   0                   
     0.11%             1  5             L1 hit                                   [.] g_mutex_unlock                         libglib-2.0.so.0.8400.4  [.] 0x000055eb46687d80                   [heap]                   None          L1 or L2 hit            Yes      N/A        44                   0                   
     0.11%             1  5             L1 hit                                   [k] ldsem_up_read                          [kernel.kallsyms]        [k] 0xffff8c3c0532f030                   [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        265                  0                   
     0.11%             1  5             L1 hit                                   [k] ldsem_up_read                          [kernel.kallsyms]        [k] 0xffff8c3c0532f030                   [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        51                   0                   
     0.11%             1  5             L1 hit                                   [k] nft_meta_store_ifname                  [kernel.kallsyms]        [k] 0xffffd3a84007ec18                   [kernel.kallsyms]        None          L1 or L2 hit            No       Addr       38                   0                   
     0.11%             1  5             L1 hit                                   [k] psi_group_change                       [kernel.kallsyms]        [k] 0xffff8c3bfbdc2e80                   [kernel.kallsyms]        None          L1 or L2 hit            No       Addr       87                   0                   
     0.11%             1  5             L1 hit                                   [k] psi_group_change                       [kernel.kallsyms]        [k] 0xffffd3a8401abd68                   [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        762                  0                   
     0.11%             1  5             L1 hit                                   [k] psi_group_change                       [kernel.kallsyms]        [k] 0xffffd3a8401abd98                   [kernel.kallsyms]        None          L1 or L2 hit            No       Addr       256                  0                   
     0.11%             1  5             L1 hit                                   [k] psi_group_change                       [kernel.kallsyms]        [k] 0xffffd3a84b233978                   [kernel.kallsyms]        None          L1 or L2 hit            No       Addr       74                   0                   
     0.11%             1  5             L1 hit                                   [k] psi_group_change                       [kernel.kallsyms]        [k] 0xffffd3a84d42f580                   [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        232                  0                   
     0.11%             1  5             L1 hit                                   [k] psi_group_change                       [kernel.kallsyms]        [k] 0xffffd3a84d42f5a0                   [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        240                  0                   
     0.11%             1  5             L1 hit                                   [.] pthread_mutex_lock                     libc.so.6                [.] 0x000055eb46687ba8                   [heap]                   None          L1 or L2 hit            Yes      N/A        51                   0                   
     0.11%             1  5             L1 hit                                   [.] qemu_main_loop                         qemu-system-x86_64       [.] 0x000055eb11814ea4                   anon                     None          L1 or L2 hit            Yes      N/A        79                   0                   
     0.11%             1  5             L1 hit                                   [k] update_curr                            [kernel.kallsyms]        [k] 0xffff8c3d4f3f5b40                   [kernel.kallsyms]        None          L1 or L2 hit            No       Addr       258                  0                   
     0.11%             1  5             L1 hit                                   [k] update_curr                            [kernel.kallsyms]        [k] 0xffffd3a8401abd40                   [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        432                  0                   
     0.11%             1  5             L1 hit                                   [k] update_curr                            [kernel.kallsyms]        [k] 0xffffd3a84d42f800                   [kernel.kallsyms]        None          L1 or L2 hit            No       Addr       49                   0                   
     0.11%             1  5             L1 hit                                   [k] update_curr_se                         [kernel.kallsyms]        [k] 0xffffd3a84d42f578                   [kernel.kallsyms]        None          L1 or L2 hit            No       Addr       112                  0                   
     0.11%             1  5             L1 hit                                   [k] vcpu_run                               [kernel.kallsyms]        [k] 0xffff8c3c92d78038                   [kernel.kallsyms]        None          L1 or L2 hit            No       Data       38                   0                   
     0.11%             1  5             L1 hit                                   [.] 0x000000000009776a                     libc.so.6                [.] 0x000055eb466863d8                   [heap]                   None          L1 or L2 hit            Yes      N/A        151                  0                   
     0.11%             1  5             L1 hit                                   [.] 0x000000000009776a                     libc.so.6                [.] 0x000055eb46686448                   [heap]                   None          L1 or L2 hit            Yes      N/A        69                   0                   
     0.11%             1  5             L1 hit                                   [.] 0x000000000009776a                     libc.so.6                [.] 0x000055eb46687ba8                   [heap]                   None          L1 or L2 hit            Yes      N/A        78                   0                   
     0.11%             1  5             L1 hit                                   [.] 0x000000000005a6f3                     libglib-2.0.so.0.8400.4  [.] 0x000055eb4765b3a8                   [heap]                   None          L1 or L2 hit            Yes      N/A        165                  0                   
     0.11%             1  5             L1 hit                                   [.] 0x000000000005d93a                     libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05d30                   [stack]                  None          L1 or L2 hit            No       N/A        32                   0                   


# Samples: 386  of event 'cpu_core/mem-stores/P'
# Total weight : 2153
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                     Shared Object            Data Symbol             Data Object        Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  .........................................  .......................  ......................  .................  ............  ......................  ......  ..........  ...................  ....................
#
     6.60%             1  142           RAM hit                                  [k] clear_page_erms                        [kernel.kallsyms]        [k] 0xffff8c3c30df71c0  [kernel.kallsyms]  Hit           L1 or L2 hit            No       N/A        0                    0                   
     2.69%             1  58            L1 hit                                   [k] tomoyo_path_number_perm                [kernel.kallsyms]        [k] 0xffffd3a84d42fc18  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     1.16%             1  25            L2 hit                                   [.] qemu_lockcnt_inc                       qemu-system-x86_64       [.] 0x00007ffef8c05c78  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.98%             1  21            L2 hit                                   [k] kvm_set_user_return_msr                [kernel.kallsyms]        [k] 0xfffff3a83f934db0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.93%             4  5             L1 hit                                   [k] _raw_spin_unlock_irqrestore            [kernel.kallsyms]        [k] 0xffff8c3f0f335048  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.93%             4  5             L1 hit                                   [k] do_idle                                [kernel.kallsyms]        [k] 0xffffd3a8401abee8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.70%             3  5             L1 hit                                   [k] enqueue_entity                         [kernel.kallsyms]        [k] 0xffffd3a8401abd58  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.70%             3  5             L1 hit                                   [.] g_mutex_unlock                         libglib-2.0.so.0.8400.4  [.] 0x000055eb46687d80  [heap]             None          L1 or L2 hit            Yes      N/A        0                    0                   
     0.70%             3  5             L1 hit                                   [.] 0x000000000005e0a1                     libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05cb8  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     0.46%             2  5             L1 hit                                   [k] __dequeue_entity                       [kernel.kallsyms]        [k] 0xffffd3a8401abdb8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.46%             2  5             L1 hit                                   [k] __rcu_read_lock                        [kernel.kallsyms]        [k] 0xffff8c3d4f3f553c  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.46%             2  5             L1 hit                                   [k] __rcu_read_unlock                      [kernel.kallsyms]        [k] 0xffff8c3d4f3f553c  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.46%             2  5             L1 hit                                   [k] __update_load_avg_cfs_rq               [kernel.kallsyms]        [k] 0xffffd3a8401abcc8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     0.46%             2  5             L1 hit                                   [.] __vdso_clock_gettime                   [vdso]                   [.] 0x00007ffef8c05d28  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
