# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 9  of event 'cpu_core/mem-loads-aux/'
# Total weight : 9
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                         Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  .............................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
    77.78%             7  0             N/A                                      [k] native_write_msr           [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
    11.11%             1  0             N/A                                      [k] ip_rcv_finish_core.isra.0  [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
    11.11%             1  0             N/A                                      [k] nft_do_chain               [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   


# Samples: 86  of event 'cpu_core/mem-loads,ldlat=30/'
# Total weight : 4519
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                 Shared Object            Data Symbol                                          Data Object              Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  .....................................  .......................  ...................................................  .......................  ............  ......................  ......  ..........  ...................  ....................
#
     9.69%             1  438           RAM hit                                  [k] __update_load_avg_cfs_rq           [kernel.kallsyms]        [k] 0xffff8c3bfbe2f000                               [kernel.kallsyms]        Hit           L1 or L2 hit            No       Addr       440                  0                   
     4.07%             1  184           RAM hit                                  [k] task_mm_cid_work                   [kernel.kallsyms]        [k] 0xfffff3a83f7027b0                               [kernel.kallsyms]        Hit           L1 or L2 hit            No       N/A        193                  0                   
     3.65%             1  165           LFB/MAB hit                              [k] hrtimer_interrupt                  [kernel.kallsyms]        [k] 0xffff8c3f0f325e54                               [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        174                  0                   
     3.16%             1  143           LFB/MAB hit                              [k] hrtimer_active                     [kernel.kallsyms]        [k] 0xffff8c3f0f225e98                               [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        159                  0                   
     2.92%             1  132           LFB/MAB hit                              [.] 0x000000000005db9c                 libglib-2.0.so.0.8400.4  [.] 0x00007f10c46208e0                               anon                     None          L1 or L2 hit            No       N/A        163                  0                   
     2.83%             1  128           LFB/MAB hit                              [.] qemu_set_irq                       qemu-system-x86_64       [.] 0x000055eb471f4858                               [heap]                   None          L1 or L2 hit            No       N/A        130                  0                   
     2.68%             1  121           L3 hit                                   [k] vmx_vcpu_load                      [kernel.kallsyms]        [k] ple_window_shrink+0x0                            [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        130                  0                   
     2.63%             1  119           L3 hit                                   [k] vcpu_run                           [kernel.kallsyms]        [k] 0xffff8c3ce0276000                               [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        121                  0                   
     2.54%             1  115           LFB/MAB hit                              [k] hrtimer_active                     [kernel.kallsyms]        [k] 0xffff8c3f0f225e98                               [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        124                  0                   
     2.41%             1  109           L3 hit                                   [k] vcpu_run                           [kernel.kallsyms]        [k] 0xffff8c3f0f320840                               [kernel.kallsyms]        Hit           L1 or L2 hit            No       N/A        113                  0                   
     2.24%             1  101           LFB/MAB hit                              [k] _raw_spin_lock_irq                 [kernel.kallsyms]        [k] 0xffff8c3bd20d39c0                               [kernel.kallsyms]        None          L2 miss                 Yes      N/A        464                  0                   
     2.04%             1  92            LFB/MAB hit                              [k] vmx_deliver_interrupt              [kernel.kallsyms]        [k] 0xffff8c3c92d79e98                               [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        94                   0                   
     1.95%             1  88            L3 hit                                   [k] save_fpregs_to_fpstate             [kernel.kallsyms]        [k] 0xffff8c3d4f3f6348                               [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        90                   0                   
     1.93%             1  87            L3 hit                                   [k] kvm_load_host_xsave_state          [kernel.kallsyms]        [k] kvm_host+0x10                                    [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        96                   0                   
     1.88%             1  85            L3 hit                                   [k] housekeeping_test_cpu              [kernel.kallsyms]        [k] housekeeping+0x0                                 [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        94                   0                   
     1.84%             1  83            L3 hit                                   [k] cpuidle_enter_state                [kernel.kallsyms]        [k] intel_idle_driver+0x428                          [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        85                   0                   
     1.81%             1  82            L3 hit                                   [k] copy_to_user_nofault               [kernel.kallsyms]        [k] 0xffffffffc2126650                               [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        91                   0                   
     1.77%             1  80            L3 hit                                   [.] g_private_get                      libglib-2.0.so.0.8400.4  [.] 0x00007f115cf3c240                               libglib-2.0.so.0.8400.4  None          L1 or L2 hit            No       N/A        82                   0                   
     1.73%             1  78            L3 hit                                   [k] psi_group_change                   [kernel.kallsyms]        [k] 0xffff8c3bd1876280                               [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        87                   0                   
     1.64%             1  74            L3 hit                                   [k] update_curr                        [kernel.kallsyms]        [k] 0xffff8c3bc401a364                               [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        88                   0                   
     1.64%             1  74            L3 hit                                   [k] vcpu_run                           [kernel.kallsyms]        [k] kvm_x86_ops+0x90                                 [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        76                   0                   
     1.59%             1  72            L3 hit                                   [k] psi_task_change                    [kernel.kallsyms]        [k] 0xffff8c3d4f3f5b40                               [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        74                   0                   
     1.55%             1  70            LFB/MAB hit                              [k] pick_task_fair                     [kernel.kallsyms]        [k] 0xffff8c3bd4ee9e51                               [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        72                   0                   
     1.53%             1  69            LFB/MAB hit                              [k] rb_next                            [kernel.kallsyms]        [k] 0xffff8c3f0f33d3a8                               [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        85                   0                   
     1.53%             1  69            LFB/MAB hit                              [.] 0x000000000005db7d                 libglib-2.0.so.0.8400.4  [.] 0x00007f10c55f7f44                               anon                     None          L1 or L2 hit            No       N/A        101                  0                   
     1.48%             1  67            L3 hit                                   [k] __update_load_avg_se               [kernel.kallsyms]        [k] runnable_avg_yN_inv+0xc                          [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        76                   0                   
     1.48%             1  67            L3 hit                                   [k] tcp_poll                           [kernel.kallsyms]        [k] 0xffff8c3c2e2ce5b0                               [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        69                   0                   
     1.46%             1  66            L3 hit                                   [.] g_private_get                      libglib-2.0.so.0.8400.4  [.] 0x00007f115cf3c460                               libglib-2.0.so.0.8400.4  None          L1 or L2 hit            No       N/A        68                   0                   
     1.46%             1  66            L3 hit                                   [k] switch_mm_irqs_off                 [kernel.kallsyms]        [k] phys_base+0x0                                    [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        68                   0                   
     1.42%             1  64            L3 hit                                   [k] __alloc_pages_noprof               [kernel.kallsyms]        [k] 0xffff8c3f1f7d7488                               [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        73                   0                   
     1.28%             1  58            LFB/MAB hit                              [k] __alloc_pages_noprof               [kernel.kallsyms]        [k] 0xffff8c3f1f7d7480                               [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        75                   0                   
     1.28%             1  58            L3 hit                                   [k] vmx_vcpu_load                      [kernel.kallsyms]        [k] ple_window+0x0                                   [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        67                   0                   
