# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6  of event 'cpu_core/mem-loads-aux/'
# Total weight : 6
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ....................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
   100.00%             6  0             N/A                                      [k] native_write_msr  [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   


# Samples: 22  of event 'cpu_core/mem-loads,ldlat=30/'
# Total weight : 1394
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                     Shared Object            Data Symbol                                      Data Object           Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  .........................................  .......................  ...............................................  ....................  ............  ......................  ......  ..........  ...................  ....................
#
    17.22%             1  240           RAM hit                                  [k] sched_balance_update_blocked_averages  [kernel.kallsyms]        [k] 0xffff8c3d08ef9ca8                           [kernel.kallsyms]     Hit           L1 or L2 hit            No       N/A        268                  0                   
    14.28%             1  199           LFB/MAB hit                              [.] qemu_main_loop                         qemu-system-x86_64       [.] 0x000055eb11814ea8                           anon                  None          L1 or L2 hit            No       N/A        201                  0                   
    13.99%             1  195           RAM hit                                  [k] switch_fpu_return                      [kernel.kallsyms]        [k] 0xffff8c3f0f320888                           [kernel.kallsyms]     Hit           L2 miss                 No       N/A        228                  0                   
    11.55%             1  161           RAM hit                                  [.] clock_gettime                          libc.so.6                [.] _rtld_global_ro+0x300                        ld-linux-x86-64.so.2  Hit           L2 miss                 No       N/A        366                  0                   
     5.95%             1  83            L3 hit                                   [k] rcu_nocb_flush_deferred_wakeup         [kernel.kallsyms]        [k] 0xffff8c3f0f236eb4                           [kernel.kallsyms]     None          L2 miss                 No       N/A        114                  0                   
     5.60%             1  78            L3 hit                                   [k] update_curr                            [kernel.kallsyms]        [k] 0xffff8c3bc1f6c4d8                           [kernel.kallsyms]     None          L1 or L2 hit            No       N/A        80                   0                   
     5.38%             1  75            LFB/MAB hit                              [k] __update_load_avg_cfs_rq               [kernel.kallsyms]        [k] 0xffff8c3bfbe2f088                           [kernel.kallsyms]     None          L1 or L2 hit            No       N/A        141                  0                   
     5.24%             1  73            L3 hit                                   [k] psi_task_switch                        [kernel.kallsyms]        [k] 0xffff8c3c0a49c900                           [kernel.kallsyms]     None          L1 or L2 hit            No       N/A        75                   0                   
