# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 9  of event 'cpu_core/mem-loads-aux/'
# Total weight : 9
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                      Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ..........................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
    77.78%             7  0             N/A                                      [k] native_write_msr        [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
    22.22%             2  0             N/A                                      [k] ct_kernel_enter.isra.0  [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   


# Samples: 102  of event 'cpu_core/mem-loads,ldlat=30/'
# Total weight : 5277
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                     Shared Object            Data Symbol                              Data Object         Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  .........................................  .......................  .......................................  ..................  ............  ......................  ......  ..........  ...................  ....................
#
     4.19%             1  221           RAM hit                                  [.] 0x00000000006cfccf                     qemu-system-x86_64       [.] 0x000055eb47454198                   [heap]              Hit           L1 or L2 hit            No       N/A        223                  0                   
     4.17%             1  220           RAM hit                                  [.] bql_unlock                             qemu-system-x86_64       [.] 0x000055eb118141a0                   anon                Hit           L1 or L2 hit            No       N/A        222                  0                   
     4.15%             1  219           LFB/MAB hit                              [k] psi_group_change                       [kernel.kallsyms]        [k] 0xfffff3a83f3053c4                   [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        729                  0                   
     3.09%             1  163           LFB/MAB hit                              [k] timerqueue_add                         [kernel.kallsyms]        [k] 0xffff8c3f0f2368d8                   [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        196                  0                   
     2.99%             1  158           LFB/MAB hit                              [k] __update_load_avg_se                   [kernel.kallsyms]        [k] 0xffff8c3bc790f0b0                   [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        160                  0                   
     2.99%             1  158           LFB/MAB hit                              [k] update_load_avg                        [kernel.kallsyms]        [k] 0xffff8c3bc401b2c0                   [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        174                  0                   
