# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 18  of event 'cpu_core/mem-loads-aux/'
# Total weight : 18
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                      Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ..........................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
    94.44%            17  0             N/A                                      [k] native_write_msr        [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     5.56%             1  0             N/A                                      [k] ct_kernel_enter.isra.0  [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   


# Samples: 86  of event 'cpu_core/mem-loads,ldlat=30/'
# Total weight : 6927
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                    Shared Object            Data Symbol                             Data Object         Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ........................................  .......................  ......................................  ..................  ............  ......................  ......  ..........  ...................  ....................
#
     7.59%             1  526           RAM hit                                  [k] psi_task_change                       [kernel.kallsyms]        [k] 0xffff8c3d4f3f5b40                  [kernel.kallsyms]   Hit           L1 or L2 hit            No       N/A        530                  0                   
     6.81%             1  472           RAM hit                                  [k] xas_start                             [kernel.kallsyms]        [k] 0xffff8c3ca17a76c0                  [kernel.kallsyms]   Hit           L2 miss                 No       N/A        840                  0                   
     6.12%             1  424           LFB/MAB hit                              [k] fdget                                 [kernel.kallsyms]        [k] 0xffff8c3d520b7300                  [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        426                  0                   
     5.11%             1  354           LFB/MAB hit                              [.] 0x000000000005d8e5                    libglib-2.0.so.0.8400.4  [.] 0x00007f10c46208e0                  anon                None          L1 or L2 hit            No       N/A        386                  0                   
     4.84%             1  335           LFB/MAB hit                              [.] 0x0000000000b1d3bc                    qemu-system-x86_64       [.] 0x000055eb474568e0                  [heap]              None          L1 or L2 hit            No       N/A        337                  0                   
     4.72%             1  327           LFB/MAB hit                              [k] update_load_avg                       [kernel.kallsyms]        [k] 0xffff8c3bfbe2f108                  [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        329                  0                   
     3.91%             1  271           RAM hit                                  [k] tomoyo_path_number_perm               [kernel.kallsyms]        [k] tomoyo_pn2mac+0x4                   [kernel.kallsyms]   Hit           L1 or L2 hit            No       N/A        280                  0                   
     3.15%             1  218           LFB/MAB hit                              [k] psi_group_change                      [kernel.kallsyms]        [k] 0xfffff3a83f3053c8                  [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        724                  0                   
