# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 28  of event 'cpu_core/mem-loads-aux/'
# Total weight : 28
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                  Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ......................................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
    28.57%             8  0             N/A                                      [k] mpage_prepare_extent_to_map         [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
    25.00%             7  0             N/A                                      [k] native_write_msr                    [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
    10.71%             3  0             N/A                                      [k] __folio_start_writeback             [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
    10.71%             3  0             N/A                                      [k] ct_kernel_enter.isra.0              [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     7.14%             2  0             N/A                                      [k] __folio_end_writeback               [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     7.14%             2  0             N/A                                      [k] rq_qos_wait                         [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     3.57%             1  0             N/A                                      [k] __switch_to                         [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     3.57%             1  0             N/A                                      [k] folio_clear_dirty_for_io            [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     3.57%             1  0             N/A                                      [k] vcpu_run                            [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   


# Samples: 150  of event 'cpu_core/mem-loads,ldlat=30/'
# Total weight : 10118
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                Shared Object            Data Symbol                                    Data Object         Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ....................................  .......................  .............................................  ..................  ............  ......................  ......  ..........  ...................  ....................
#
     3.35%             1  339           LFB/MAB hit                              [k] available_idle_cpu                [kernel.kallsyms]        [k] 0xffff8c3f0f3b6940                         [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        430                  0                   
     2.87%             1  290           L3 hit                                   [k] copy_page_from_iter_atomic        [kernel.kallsyms]        [k] 0x00007f10d467e8c0                         [unknown]           None          L1 or L2 hit            No       N/A        297                  0                   
     2.35%             1  238           RAM hit                                  [.] qemu_ram_block_from_host          qemu-system-x86_64       [.] 0x000055eb11827470                         anon                Hit           L1 or L2 hit            No       N/A        247                  0                   
