# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6  of event 'cpu_core/mem-loads-aux/'
# Total weight : 6
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ....................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
   100.00%             6  0             N/A                                      [k] native_write_msr  [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   


# Samples: 18  of event 'cpu_core/mem-loads,ldlat=30/'
# Total weight : 1173
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                     Shared Object            Data Symbol                         Data Object              Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  .........................................  .......................  ..................................  .......................  ............  ......................  ......  ..........  ...................  ....................
#
    15.00%             1  176           LFB/MAB hit                              [k] __flush_smp_call_function_queue        [kernel.kallsyms]        [k] 0xffff8c3f0f337140              [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        178                  0                   
    14.24%             1  167           RAM hit                                  [.] g_array_append_vals@plt                qemu-system-x86_64       [.] 0x000055eb1170f208              qemu-system-x86_64       Hit           L2 miss                 No       N/A        188                  0                   
    12.19%             1  143           RAM hit                                  [.] slirp_pollfds_poll                     libslirp.so.0.4.0        [.] 0x000055eb1168a3d0              qemu-system-x86_64       Hit           L2 miss                 No       N/A        305                  0                   
     7.42%             1  87            LFB/MAB hit                              [.] main_loop_wait                         qemu-system-x86_64       [.] 0x000055eb11845800              anon                     None          L1 or L2 hit            No       N/A        89                   0                   
     7.25%             1  85            L3 hit                                   [k] update_load_avg                        [kernel.kallsyms]        [k] 0xffff8c3f0f336004              [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        87                   0                   
     7.08%             1  83            LFB/MAB hit                              [k] intel_idle                             [kernel.kallsyms]        [k] 0xffff8c3bc0decd42              [kernel.kallsyms]        None          L2 miss                 Yes      N/A        253                  0                   
     6.56%             1  77            L3 hit                                   [k] ioapic_set_irq                         [kernel.kallsyms]        [k] 0xffff8c3d47748028              [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        79                   0                   
     6.56%             1  77            L3 hit                                   [.] pthread_getspecific@plt                libglib-2.0.so.0.8400.4  [.] 0x00007f115cf3bd30              libglib-2.0.so.0.8400.4  None          L1 or L2 hit            No       N/A        79                   0                   
     6.22%             1  73            L3 hit                                   [k] tcp_poll                               [kernel.kallsyms]        [k] 0xffff8c3c25c21312              [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        75                   0                   
     6.05%             1  71            L3 hit                                   [k] enqueue_task_fair                      [kernel.kallsyms]        [k] 0xffff8c3bc790f0a0              [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        103                  0                   
