# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5  of event 'cpu_core/mem-loads-aux/'
# Total weight : 5
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                      Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ..........................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
    80.00%             4  0             N/A                                      [k] native_write_msr        [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
    20.00%             1  0             N/A                                      [k] ct_kernel_enter.isra.0  [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   


# Samples: 46  of event 'cpu_core/mem-loads,ldlat=30/'
# Total weight : 2440
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                           Shared Object            Data Symbol                                      Data Object        Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ...............................  .......................  ...............................................  .................  ............  ......................  ......  ..........  ...................  ....................
#
     8.69%             1  212           L3 hit                                   [k] __calc_delta.constprop.0     [kernel.kallsyms]        [k] 0xffff8c3bd4ee9e08                           [kernel.kallsyms]  Hit           L1 or L2 hit            No       N/A        214                  0                   
     7.13%             1  174           L3 hit                                   [k] tmigr_quick_check            [kernel.kallsyms]        [k] 0xffff8c3bc0b34dd0                           [kernel.kallsyms]  HitM          L2 miss                 No       N/A        205                  0                   
     5.78%             1  141           RAM hit                                  [k] fdget                        [kernel.kallsyms]        [k] 0xffff8c3bc1aa7548                           [kernel.kallsyms]  Hit           L1 or L2 hit            No       N/A        143                  0                   
     5.20%             1  127           RAM hit                                  [k] sock_poll                    [kernel.kallsyms]        [k] inet_stream_ops+0x40                         [kernel.kallsyms]  Hit           L1 or L2 hit            No       N/A        129                  0                   
     4.67%             1  114           LFB/MAB hit                              [k] __update_load_avg_se         [kernel.kallsyms]        [k] 0xffff8c3bfbe2fab0                           [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        116                  0                   
     4.43%             1  108           L3 hit                                   [k] n_tty_poll                   [kernel.kallsyms]        [k] 0xffffd3a8466cb05d                           [kernel.kallsyms]  None          L2 miss                 No       N/A        228                  0                   
     4.02%             1  98            LFB/MAB hit                              [k] ct_kernel_enter.isra.0       [kernel.kallsyms]        [k] 0xffff8c3f0f319a18                           [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        109                  0                   
     3.93%             1  96            LFB/MAB hit                              [k] _raw_spin_lock_irq           [kernel.kallsyms]        [k] 0xffff8c3bc0059c00                           [kernel.kallsyms]  None          L1 or L2 hit            Yes      N/A        98                   0                   
