# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 8  of event 'cpu_core/mem-loads-aux/'
# Total weight : 8
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                     Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  .........................................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
    87.50%             7  0             N/A                                      [k] native_write_msr                       [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
    12.50%             1  0             N/A                                      [k] skip_emulated_instruction              [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   


# Samples: 19  of event 'cpu_core/mem-loads,ldlat=30/'
# Total weight : 1337
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                             Shared Object            Data Symbol                                Data Object        Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  .................................  .......................  .........................................  .................  ............  ......................  ......  ..........  ...................  ....................
#
    35.08%             1  469           LFB/MAB hit                              [k] nft_meta_get_eval              [kernel.kallsyms]        [k] 0xffff8c3bcd3c3e72                     [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        471                  0                   
    11.67%             1  156           L3 hit                                   [k] enqueue_task_fair              [kernel.kallsyms]        [k] 0xffff8c3d4f3f510c                     [kernel.kallsyms]  HitM          L1 or L2 hit            No       N/A        158                  0                   
     7.48%             1  100           LFB/MAB hit                              [k] record_steal_time              [kernel.kallsyms]        [k] 0x00007f1147a38090                     [unknown]          None          L2 miss                 Yes      N/A        198                  0                   
     6.73%             1  90            LFB/MAB hit                              [k] __switch_to_asm                [kernel.kallsyms]        [k] 0xffff8c3cc7d76258                     [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        99                   0                   
