# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 8  of event 'cpu_core/mem-loads-aux/'
# Total weight : 8
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ....................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
   100.00%             8  0             N/A                                      [k] native_write_msr  [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   


# Samples: 48  of event 'cpu_core/mem-loads,ldlat=30/'
# Total weight : 2860
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                              Shared Object            Data Symbol                                Data Object         Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ..................................  .......................  .........................................  ..................  ............  ......................  ......  ..........  ...................  ....................
#
    13.60%             1  389           RAM hit                                  [.] gsi_handler                     qemu-system-x86_64       [.] 0x000055eb4668db80                     [heap]              Hit           L1 or L2 hit            No       N/A        391                  0                   
     7.13%             1  204           RAM hit                                  [.] pthread_once                    libc.so.6                [.] 0x00007f115cf3d1a0                     anon                Hit           L2 miss                 No       N/A        225                  0                   
     6.33%             1  181           L3 hit                                   [k] do_nocb_deferred_wakeup.isra.0  [kernel.kallsyms]        [k] 0xffff8c3f0f236eb4                     [kernel.kallsyms]   HitM          L2 miss                 No       N/A        275                  0                   
     5.45%             1  156           RAM hit                                  [k] n_tty_poll                      [kernel.kallsyms]        [k] 0xffffd3a8466cb05d                     [kernel.kallsyms]   Hit           L2 miss                 No       N/A        344                  0                   
     4.97%             1  142           RAM hit                                  [.] 0x000000000008f668              libc.so.6                [.] 0x00007f115ca4c748                     anon                Hit           L2 miss                 No       N/A        163                  0                   
     4.90%             1  140           LFB/MAB hit                              [k] vruntime_eligible               [kernel.kallsyms]        [k] 0xffff8c3bd4ee9e50                     [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        149                  0                   
     4.02%             1  115           LFB/MAB hit                              [k] record_times                    [kernel.kallsyms]        [k] 0xfffff3a83f923350                     [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        125                  0                   
     3.81%             1  109           L3 hit                                   [k] pick_task_fair                  [kernel.kallsyms]        [k] 0xffff8c3bfbe2fa50                     [kernel.kallsyms]   HitM          L1 or L2 hit            No       N/A        118                  0                   
     3.04%             1  87            L3 hit                                   [k] psi_group_change                [kernel.kallsyms]        [k] 0xfffff3a83f94f5c8                     [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        96                   0                   
     3.01%             1  86            L2 hit                                   [k] psi_task_switch                 [kernel.kallsyms]        [k] 0xffff8c3c0dc6ec30                     [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        95                   0                   
     2.76%             1  79            L3 hit                                   [k] kvm_set_ioapic_irq              [kernel.kallsyms]        [k] 0xffffd3a84d482340                     [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        81                   0                   
