# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 813  of event 'cpu_core/mem-loads-aux/'
# Total weight : 817
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                          Shared Object            Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ..............................  .......................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
    14.69%           120  0             N/A                                      [k] native_write_msr            [kernel.kallsyms]        [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     7.34%            60  0             N/A                                      [.] cpu_get_tb_cpu_state        qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     3.67%            30  0             N/A                                      [.] 0x00007fcee31c97b0          [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     3.30%            27  0             N/A                                      [.] arm_cpu_tlb_fill_align      qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     1.84%            15  0             N/A                                      [.] 0x0000000000c673a2          qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     1.59%            13  0             N/A                                      [.] helper_lookup_tb_ptr        qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     1.35%            11  0             N/A                                      [.] 0x00007fcee314432f          [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     1.22%            10  0             N/A                                      [.] 0x000000000094d1e9          qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     1.22%            10  0             N/A                                      [.] 0x000000000094d20a          qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     1.10%             9  0             N/A                                      [.] arm_hcr_el2_eff_secstate    qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     1.10%             9  0             N/A                                      [.] get_phys_addr               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.98%             8  0             N/A                                      [.] helper_gvec_umaxp_b         qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.86%             7  0             N/A                                      [.] 0x00007fcee31c9733          [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.86%             7  0             N/A                                      [.] 0x000000000094b0ad          qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
