# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6  of event 'cpu_core/mem-loads-aux/'
# Total weight : 6
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ....................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
   100.00%             6  0             N/A                                      [k] native_write_msr  [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   


# Samples: 21  of event 'cpu_core/mem-loads,ldlat=30/'
# Total weight : 1791
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                     Shared Object            Data Symbol                                Data Object        Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  .........................................  .......................  .........................................  .................  ............  ......................  ......  ..........  ...................  ....................
#
    17.53%             1  314           RAM hit                                  [k] sched_balance_update_blocked_averages  [kernel.kallsyms]        [k] 0xffff8c3f0f536004                     [kernel.kallsyms]  Hit           L1 or L2 hit            No       N/A        316                  0                   
    12.23%             1  219           LFB/MAB hit                              [k] update_load_avg                        [kernel.kallsyms]        [k] 0xffff8c3f0f336078                     [kernel.kallsyms]  None          L1 or L2 hit            No       Addr       221                  0                   
    11.78%             1  211           RAM hit                                  [k] kvm_pic_set_irq                        [kernel.kallsyms]        [k] 0xffff8c3bc1898a78                     [kernel.kallsyms]  Hit           L1 or L2 hit            No       N/A        320                  0                   
     7.48%             1  134           RAM hit                                  [k] hook_file_ioctl                        [kernel.kallsyms]        [k] landlock_blob_sizes+0x4                [kernel.kallsyms]  Hit           L2 miss                 No       N/A        175                  0                   
     7.09%             1  127           LFB/MAB hit                              [k] enqueue_entity                         [kernel.kallsyms]        [k] 0xffff8c3bfbe2f050                     [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        233                  0                   
     5.30%             1  95            L3 hit                                   [k] enqueue_task_fair                      [kernel.kallsyms]        [k] 0xffff8c3f0f335ff8                     [kernel.kallsyms]  HitM          L1 or L2 hit            No       N/A        97                   0                   
     4.75%             1  85            LFB/MAB hit                              [k] __update_load_avg_se                   [kernel.kallsyms]        [k] 0xffff8c3bd4ee9eb0                     [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        87                   0                   
