# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7  of event 'cpu_core/mem-loads-aux/'
# Total weight : 7
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                      Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ..........................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
    85.71%             6  0             N/A                                      [k] native_write_msr        [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
    14.29%             1  0             N/A                                      [k] ct_kernel_enter.isra.0  [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   


# Samples: 23  of event 'cpu_core/mem-loads,ldlat=30/'
# Total weight : 2476
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                        Shared Object            Data Symbol             Data Object              Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ............................  .......................  ......................  .......................  ............  ......................  ......  ..........  ...................  ....................
#
    13.81%             1  342           RAM hit                                  [k] __update_load_avg_cfs_rq  [kernel.kallsyms]        [k] 0xffff8c3bc401a280  [kernel.kallsyms]        Hit           L1 or L2 hit            No       N/A        483                  0                   
    12.76%             1  316           LFB/MAB hit                              [k] dl_server_start           [kernel.kallsyms]        [k] 0xffff8c3f0f336840  [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        318                  0                   
    11.43%             1  283           RAM hit                                  [k] ct_kernel_exit_state      [kernel.kallsyms]        [k] 0xffff8c3f0f319a18  [kernel.kallsyms]        Hit           L2 miss                 No       N/A        373                  0                   
     8.80%             1  218           RAM hit                                  [k] update_load_avg           [kernel.kallsyms]        [k] 0xffff8c3f0f2a1708  [kernel.kallsyms]        Hit           L2 miss                 No       N/A        249                  0                   
