# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 717  of event 'cpu_core/mem-loads-aux/'
# Total weight : 721
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                               Shared Object            Data Symbol             Data Object        Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ...................................  .......................  ......................  .................  ............  ......................  ......  ..........  ...................  ....................
#
    12.34%            89  0             N/A                                      [.] cpu_get_tb_cpu_state             qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
    10.26%            74  0             N/A                                      [k] native_write_msr                 [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     4.72%            34  0             N/A                                      [.] 0x00007fcee31c97b0               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     3.88%            28  0             N/A                                      [.] arm_cpu_tlb_fill_align           qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     2.64%            19  0             N/A                                      [.] 0x0000000000c673a2               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     1.80%            13  0             N/A                                      [k] ct_nmi_enter                     [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     1.80%            13  0             N/A                                      [.] helper_gvec_umaxp_b              qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     1.53%            11  0             N/A                                      [.] 0x00007fcee314432f               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     1.11%             8  0             N/A                                      [.] 0x0000000000c67390               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.97%             7  0             N/A                                      [k] ct_kernel_enter.isra.0           [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.97%             7  0             N/A                                      [.] get_phys_addr                    qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.97%             7  0             N/A                                      [.] 0x000000000094cf42               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.97%             7  0             N/A                                      [.] 0x000000000094cf6b               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.97%             7  0             N/A                                      [.] 0x000000000094e869               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.97%             7  0             N/A                                      [.] 0x000000000095008c               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.83%             6  0             N/A                                      [.] cpu_exec_start                   qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.83%             6  0             N/A                                      [.] helper_lookup_tb_ptr             qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.83%             6  0             N/A                                      [.] 0x000000000094b046               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.83%             6  0             N/A                                      [.] 0x000000000094cf8a               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.83%             6  0             N/A                                      [.] 0x000000000094d057               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.83%             6  0             N/A                                      [.] 0x000000000094d1c6               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.69%             1  5             N/A                                      [k] ct_nmi_enter                     [kernel.kallsyms]        [k] 0xffff8c3f0f3b0ba8  [kernel.kallsyms]  N/A           N/A                     N/A      N/A        38                   0                   
     0.69%             5  0             N/A                                      [k] __switch_to                      [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.69%             5  0             N/A                                      [.] 0x000000000094b0ad               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.69%             5  0             N/A                                      [.] 0x000000000094b40f               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.69%             5  0             N/A                                      [.] 0x000000000094cf18               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.69%             5  0             N/A                                      [.] 0x000000000094cf7b               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.69%             5  0             N/A                                      [.] 0x000000000094cff4               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.69%             5  0             N/A                                      [.] 0x000000000094d079               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.69%             5  0             N/A                                      [.] 0x000000000094e84b               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.55%             4  0             N/A                                      [.] helper_gvec_uminp_b              qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.55%             4  0             N/A                                      [.] 0x00007fced4d2943c               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.55%             4  0             N/A                                      [.] 0x00007fcee31c97c0               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.55%             4  0             N/A                                      [.] 0x000000000094b163               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.55%             4  0             N/A                                      [.] 0x000000000094b416               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.55%             4  0             N/A                                      [.] 0x000000000094cf20               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.55%             4  0             N/A                                      [.] 0x000000000094cfe7               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.55%             4  0             N/A                                      [.] 0x000000000094d006               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.55%             4  0             N/A                                      [.] 0x0000000000c6fc41               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.42%             3  0             N/A                                      [.] arm_hcr_el2_eff_secstate         qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
