# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 802  of event 'cpu_core/mem-loads-aux/'
# Total weight : 810
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                  Shared Object            Data Symbol             Data Object        Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ......................................  .......................  ......................  .................  ............  ......................  ......  ..........  ...................  ....................
#
    12.10%            98  0             N/A                                      [.] cpu_get_tb_cpu_state                qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     7.65%            62  0             N/A                                      [k] native_write_msr                    [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     4.69%            38  0             N/A                                      [.] 0x00007fcee31c97b0                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     4.07%            33  0             N/A                                      [.] arm_cpu_tlb_fill_align              qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     2.22%            18  0             N/A                                      [.] helper_gvec_umaxp_b                 qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     2.10%            17  0             N/A                                      [.] 0x0000000000c673a2                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     1.98%            16  0             N/A                                      [.] arm_hcr_el2_eff_secstate            qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     1.48%            12  0             N/A                                      [.] get_phys_addr                       qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     1.36%            11  0             N/A                                      [k] ct_nmi_enter                        [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     1.36%            11  0             N/A                                      [.] 0x00007fcee314432f                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     1.11%             9  0             N/A                                      [.] 0x000000000094cf18                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     1.11%             9  0             N/A                                      [.] 0x000000000094cf8a                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.99%             8  0             N/A                                      [.] 0x000000000094cf20                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.99%             8  0             N/A                                      [.] 0x000000000094d1c6                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.86%             7  0             N/A                                      [.] helper_lookup_tb_ptr                qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.86%             7  0             N/A                                      [.] 0x000000000094b1bf                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.86%             7  0             N/A                                      [.] 0x000000000094d057                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.74%             6  0             N/A                                      [.] helper_gvec_uminp_b                 qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.74%             6  0             N/A                                      [k] mpage_prepare_extent_to_map         [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.74%             6  0             N/A                                      [.] 0x00007fcee31c97c8                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.74%             6  0             N/A                                      [.] 0x000000000094b163                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.74%             6  0             N/A                                      [.] 0x000000000094cf02                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.74%             6  0             N/A                                      [.] 0x000000000094cf7b                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.74%             6  0             N/A                                      [.] 0x000000000094f47d                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.62%             1  5             N/A                                      [k] ct_nmi_enter                        [kernel.kallsyms]        [k] 0xffff8c3f0f3b0ba8  [kernel.kallsyms]  N/A           N/A                     N/A      N/A        39                   0                   
     0.62%             1  5             N/A                                      [.] 0x00007fced7b1840a                  [JIT] tid 7297           [.] 0x00005651d9315e10  [heap]             N/A           N/A                     N/A      N/A        274                  0                   
     0.62%             5  0             N/A                                      [.] 0x00007fcee31c979e                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.62%             5  0             N/A                                      [.] 0x000000000094cff4                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.62%             5  0             N/A                                      [.] 0x000000000094d003                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.62%             5  0             N/A                                      [.] 0x000000000094d024                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.62%             5  0             N/A                                      [.] 0x000000000094d0ce                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.62%             5  0             N/A                                      [.] 0x000000000094e84b                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.49%             4  0             N/A                                      [k] ct_kernel_enter.isra.0              [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
