# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cpu_core/mem-loads-aux/'
# Total weight : 4832
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                  Shared Object            Data Symbol             Data Object        Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ......................................  .......................  ......................  .................  ............  ......................  ......  ..........  ...................  ....................
#
    12.00%           580  0             N/A                                      [.] 0x000000000094e098                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     9.09%           439  0             N/A                                      [.] 0x000000000094e088                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     8.53%           412  0             N/A                                      [.] 0x000000000094cf02                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     7.18%           347  0             N/A                                      [.] 0x000000000095008c                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     6.52%           315  0             N/A                                      [.] 0x000000000094cefb                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     6.48%           313  0             N/A                                      [.] 0x000000000094ee77                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     5.07%           245  0             N/A                                      [.] 0x000000000094e09e                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     4.22%           204  0             N/A                                      [.] 0x000000000094cf18                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     4.22%           204  0             N/A                                      [.] 0x000000000094e06e                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     3.73%           180  0             N/A                                      [.] 0x0000000000950083                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     3.66%           177  0             N/A                                      [.] 0x000000000095007a                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     2.44%           118  0             N/A                                      [.] 0x000000000094d201                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     2.30%           111  0             N/A                                      [.] 0x000000000094e056                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     1.95%            94  0             N/A                                      [.] 0x000000000094cf20                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     1.66%            80  0             N/A                                      [.] cpu_get_tb_cpu_state                qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     1.43%            69  0             N/A                                      [.] 0x000000000094d1bb                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     1.32%            64  0             N/A                                      [k] native_write_msr                    [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     1.22%            59  0             N/A                                      [.] arm_cpu_tlb_fill_align              qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.93%            45  0             N/A                                      [.] 0x000000000094d20a                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.66%            32  0             N/A                                      [.] 0x00007fcee31c97b0                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.66%            32  0             N/A                                      [.] 0x000000000095004b                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.58%            28  0             N/A                                      [.] 0x000000000094cf6b                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.58%            28  0             N/A                                      [.] 0x0000000000950067                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.52%            25  0             N/A                                      [.] 0x000000000094cf42                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.52%            25  0             N/A                                      [.] 0x0000000000950072                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.48%            23  0             N/A                                      [.] arm_hcr_el2_eff_secstate            qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.39%            19  0             N/A                                      [.] 0x000000000094cf7b                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.33%            16  0             N/A                                      [.] 0x00000000009500dd                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.29%            14  0             N/A                                      [.] 0x000000000094cf8a                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.29%            14  0             N/A                                      [.] 0x000000000095001b                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.27%            13  0             N/A                                      [.] get_phys_addr                       qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.27%            13  0             N/A                                      [.] 0x00007fcee314432f                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.27%            13  0             N/A                                      [.] 0x000000000094cf98                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.27%            13  0             N/A                                      [.] 0x0000000000c673a2                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.25%            12  0             N/A                                      [.] 0x000000000094d003                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.25%            12  0             N/A                                      [.] 0x000000000094d1fe                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.25%            12  0             N/A                                      [.] 0x0000000000950021                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.21%            10  0             N/A                                      [.] 0x00007fcee314e1ef                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.21%            10  0             N/A                                      [.] 0x000000000094d1db                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.17%             8  0             N/A                                      [.] 0x000000000094cfa4                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.17%             8  0             N/A                                      [.] 0x000000000094cff4                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.17%             8  0             N/A                                      [.] 0x000000000094d1e9                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             7  0             N/A                                      [.] helper_gvec_umaxp_b                 qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
