# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cpu_core/mem-loads-aux/'
# Total weight : 3470
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                               Shared Object            Data Symbol             Data Object        Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ...................................  .......................  ......................  .................  ............  ......................  ......  ..........  ...................  ....................
#
     7.49%           260  0             N/A                                      [.] cpu_get_tb_cpu_state             qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     5.94%           206  0             N/A                                      [.] 0x000000000094e088               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     5.94%           206  0             N/A                                      [.] 0x000000000094e098               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     5.13%           178  0             N/A                                      [k] ct_nmi_enter                     [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     4.96%           172  0             N/A                                      [.] 0x000000000094cf02               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     4.81%           167  0             N/A                                      [.] 0x000000000095008c               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     4.15%           144  0             N/A                                      [.] 0x000000000094ee77               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     4.06%           141  0             N/A                                      [.] 0x000000000094cefb               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     3.78%           131  0             N/A                                      [.] 0x000000000094cf18               qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     3.20%           111  0             N/A                                      [k] native_write_msr                 [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
