# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 44  of event 'cpu_core/mem-loads-aux/'
# Total weight : 44
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                     Shared Object       Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  .........................................  ..................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
    79.55%            35  0             N/A                                      [k] native_write_msr                       [kernel.kallsyms]   [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
    11.36%             5  0             N/A                                      [k] vcpu_run                               [kernel.kallsyms]   [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     4.55%             2  0             N/A                                      [k] skip_emulated_instruction              [kernel.kallsyms]   [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     2.27%             1  0             N/A                                      [k] ct_kernel_enter.isra.0                 [kernel.kallsyms]   [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     2.27%             1  0             N/A                                      [.] 0x00000000008d52d3                     qemu-system-x86_64  [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   


# Samples: 54  of event 'cpu_core/mem-loads,ldlat=30/'
# Total weight : 3438
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                               Shared Object            Data Symbol                                        Data Object              Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ...................................  .......................  .................................................  .......................  ............  ......................  ......  ..........  ...................  ....................
#
     6.66%             1  229           RAM hit                                  [k] kvm_ioapic_set_irq               [kernel.kallsyms]        [k] 0xffff8c3d477480e8                             [kernel.kallsyms]        Hit           L1 or L2 hit            No       N/A        270                  0                   
